n,vth_average,t
0,0.896701447,0
1,1.022507544,0.00001
2,1.043365346,0.00002
4,1.068927248,0.00004
8,1.100802554,0.00008
16,1.123447199,0.00016
32,1.142902648,0.00032
64,1.164052263,0.00064
128,1.189846952,0.00128
256,1.210282429,0.00256
512,1.236002035,0.00512
1024,1.259148174,0.01024
2048,1.286422093,0.02048
4096,1.304730509,0.04096
8192,1.332233574,0.08192
16384,1.349975491,0.16384
32768,1.378307099,0.32768
65536,1.397317938,0.65536
131072,1.417709121,1.31072
262144,1.441440607,2.62144
524288,1.453303948,5.24288
1048576,1.466667446,10.48576
2097152,1.48038929,20.97152
4194304,1.48135729,41.94304
8388608,1.483686196,83.88608
16777216,1.486717096,167.77216
33554432,1.489122935,335.54432
67108864,1.478456283,671.08864
100000000,1.48012247,1000
125892541,1.48131119,1258.92541
158489319,1.478599954,1584.89319
199526232,1.476538481,1995.26232
251188643,1.47925401,2511.88643
316227766,1.472560152,3162.27766
398107171,1.469718717,3981.07171
501187234,1.473077534,5011.87234
630957344,1.478181076,6309.57344
794328235,1.46929788,7943.28235
1000000000,1.466830396,10000
